id,page,n,c1,c2,c3,c4
323,11,4,#FFBF6E,#A6D40D,#651300,#000000
324,11,4,#A90636,#4F8FE6,#9C52F2,#B5D1CC
325,11,4,#E62E73,#FAED8F,#E0B81F,#0F261F
326,11,4,#F5F5B8,#FF3319,#A6FF47,#7AFF00
327,11,4,#FF5EC4,#B85E00,#C0B490,#BFABCC
328,11,4,#A32100,#FF7340,#362304,#23C17C
329,11,4,#FFB852,#BFABCC,#340059,#1B3644
330,11,4,#BCD382,#BFFFE6,#96BFE6,#2DBC94
331,11,4,#CC1A97,#06004F,#9161F2,#2619D1
332,11,4,#FF7399,#D50C42,#172713,#00592E
333,11,4,#A93400,#F2FF26,#94FF94,#0D75FF
334,11,4,#FFCFC4,#718600,#A6FF47,#008AA1
335,11,4,#740909,#FF8C00,#2619D1,#1B3644
336,11,4,#FF5EC4,#681916,#FFF59E,#324E2A
337,11,4,#5C2C45,#CC85D1,#531745,#000000
338,11,4,#A10B2B,#FFAB00,#00592E,#BFABCC
339,11,4,#D99E73,#DE4500,#A6E6DB,#202D85
340,11,4,#FF3319,#33FF7D,#B5D1CC,#000000
341,11,4,#FF616B,#328E13,#172713,#A6E6DB
342,11,4,#FFA6D9,#FFB852,#8C6510,#172713
343,11,4,#A93400,#EBD999,#505423,#003E83
344,11,4,#FFBF6E,#0024CC,#9C52F2,#000000
345,11,4,#681916,#BFFFE6,#6BFFB3,#4733FF
346,11,4,#B319AB,#B5FFC2,#BDF226,#5C8A73
347,11,4,#99B333,#33FF7D,#0057BA,#B875EB
348,11,4,#BCD382,#328E13,#172713,#340059
